"vendor_sku","carat","shipping_availability","certificate_lab","certificate_number","orig_certificate_url","shape","cost","cost_per_carat","clarity","clarity_characteristics","color","color_origin","color_distribution","cut","culet_size","culet_condition","polish","depth","depth_percent","width","length","length_width_ratio","measurements","fluorescence","fluorescence_color","girdle","girdle_thin","girdle_thick","girdle_percent","symmetry","table_percent","key_to_symbols","crown_height","crown_angle","pavilion_depth","pavilion_angle","fancy_color","fancy_color_intensity","fancy_color_overtone","city","state","country","location","days_to_ship","lab_grown","laser_inscription","report_date","comments","orig_primary_image_url","orig_proportions_url","orig_plotting_url","orig_video_url","orig_3d_360_url","orig_alt_image1_url","orig_alt_image2_url","orig_alt_image3_url","orig_video1_url","orig_video2_url"
"R10-38900",1.03,"Guaranteed","GIA","2205729946","https://assets.newecx.com/template/assets/GIA-2205729946/certificate.pdf","CU",4073,3954.37,"SI1",,"E",,,"VG","N",,"VG",3.63,64.7,5.6,6.16,1.1,,"F",,"Slightly Thick to Extremely Thick, Faceted",,,,"VG",66,"Crystal,Needle,Feather",,,,,,,,,,,,,0,,,,"https://assets.newecx.com/template/assets/GIA-2205729946/primary.jpg","https://assets.newecx.com/template/assets/GIA-2205729946/cutprofile.jpg","https://assets.newecx.com/template/assets/GIA-2205729946/plot.jpg","https://assets.newecx.com/template/assets/GIA-2205729946/video.mp4",,,,,,
"E18-12897",5.02,,"IGI","459108837","https://assets.newecx.com/template/assets/IGI-459108837/certificate.pdf","EM",17394.3,3465,"VS2",,"F",,,"G","N",,"EX",4.99,63.2,11.02,7.9,0.72,,"N",,,,,,"EX",71,,,,,,,,,,,,"belgium",,1,,,,"https://assets.newecx.com/template/assets/IGI-459108837/primary.jpg",,,"https://assets.newecx.com/template/assets/IGI-459108837/video.mp4","https://labgrowndiamond.s3.amazonaws.com/Video/Viewer4.0/Vision360.html?d=459108837",,,,,
